# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240708
# Data de termino: 20240714
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
Renato Gaucho 1997;20240713;2;2;2;0;0;0;0
Ricardo Berna 2013;20240713;2;2;2;0;0;0;0
Roberto Brum 2002;20240708;2;1;0;2;0;0;0
Robinho 2018;20240713;2;2;2;0;0;0;0
Roger 2004 - Gols por Adversario;20240712;2;2;0;29.5;0;0;0
Romeu 1942;20240711;2;1;0;28.5;0;0;0
Roni 2009 - Gols por Adversario;20240712;2;2;0;93.5;0;0;0
Rua Bariri;20240713;2;2;2;0;0;0;0
Rubens Galaxe 1982;20240712;2;2;0;6.5;0;0;0
Ruy 2009;20240708;2;1;0;132.5;0;0;0
S. C. Internacional 1 X 0 Fluminense;20240714;2;1;0;0;0;0;0
Selecao Peru 1 X 0 Fluminense;20240708;2;1;0;0.5;0;0;0
Sequencias;20240709;2;2;0;13.5;0;0;0
Sequencias;20240711;2;2;0;12.5;0;0;0
Sequencias - Brasileiro;20240712;2;1;0;13;0;0;0
Silvinho 1972;20240713;2;2;2;0;0;0;0
Sao Januario;20240713;2;2;2;0;0;0;0
Sao Paulo 1 X 0 Fluminense;20240708;2;1;0;3;0;0;0
Sao Paulo Athletic 3 X 0 Fluminense;20240714;2;1;0;0.5;0;0;0
Sergio 1964;20240713;2;2;2;0;0;0;0
Tec - Cristovao Borges;20240712;2;1;0;2.5;0;0;0
Tec - Mano Menezes;20240712;2;2;0;5;0;0;0
Tec - Oswaldo de Oliveira;20240712;2;1;0;8;0;0;0
